sequence	16S_rRNA_Count	metadata_NSTI
ASV0481	5	0.067995
ASV0482	1	0.023509
ASV0483	1	0.044427999999999995
ASV0484	2	0.505767
ASV0485	1	0.032416
ASV0486	1	0.025620999999999998
ASV0487	5	0.004319
ASV0488	2	0.088335
ASV0489	1	0.018664
ASV0490	1	0.057312
ASV0491	2	0.025699
ASV0492	1	0.059809
ASV0493	1	0.054469000000000004
ASV0494	3	0.12850699999999998
ASV0495	1	0.159343
ASV0496	1	0.056924
ASV0497	1	0.258062
ASV0498	1	0.002134
ASV0499	2	0.460376
ASV0500	1	0.302647
ASV0501	1	0.045205
ASV0502	2	0.47146800000000005
ASV0503	4	0.030285000000000003
ASV0504	10	4.943423
ASV0505	3	0.071913
ASV0506	1	0.080076
ASV0507	1	0.298977
ASV0508	1	0.5828770000000001
ASV0509	1	0.334142
ASV0510	2	0.47279499999999997
ASV0511	1	0.041876
ASV0512	1	0.18996
ASV0513	1	0.066817
ASV0514	5	0.024949000000000002
ASV0515	1	0.15621
ASV0516	1	0.374227
ASV0517	1	0.07535
ASV0518	1	0.066553
ASV0519	2	0.46322700000000006
ASV0520	3	0.042783
ASV0521	5	0.041135000000000005
ASV0522	1	0.07650900000000001
ASV0523	1	0.019507
ASV0524	1	0.219452
ASV0525	1	0.092494
ASV0526	3	0.07265
ASV0527	1	0.6599619999999999
ASV0528	1	0.340258
ASV0529	1	0.049957
ASV0530	1	0.159892
ASV0531	3	0.023716
ASV0532	8	0.010626
ASV0533	2	0.492093
ASV0534	1	0.7449939999999999
ASV0535	1	0.34328600000000004
ASV0536	10	7.124200999999999
ASV0537	1	0.596543
ASV0538	1	0.6314890000000001
ASV0539	1	0.036398
ASV0540	1	0.043519999999999996
ASV0541	1	0.048617
ASV0542	1	0.204568
ASV0543	2	0.094273
ASV0544	1	0.602902
ASV0545	1	0.080874
ASV0546	1	0.04988
ASV0547	5	0.048118
ASV0548	1	0.151956
ASV0549	1	0.049981
ASV0550	1	0.020153
ASV0551	2	0.008497
ASV0552	1	0.010577
ASV0553	1	0.166245
ASV0554	1	0.072389
ASV0555	1	0.086026
ASV0556	1	0.41348199999999996
ASV0557	1	0.032347
ASV0558	2	0.46638999999999997
ASV0559	1	0.08504500000000001
ASV0560	5	0.022005
ASV0561	1	0.030208
ASV0562	2	0.188301
ASV0563	2	0.044065
ASV0564	5	0.059512
ASV0565	3	0.00015
ASV0566	1	0.06437999999999999
ASV0567	1	0.336914
ASV0568	1	0.041072000000000004
ASV0569	1	0.18729
ASV0570	1	0.002148
ASV0571	5	0.056401
ASV0572	1	0.092315
ASV0573	1	0.057920000000000006
ASV0574	1	0.025968
ASV0575	1	0.063922
ASV0576	1	0.003778
ASV0577	1	0.062314999999999995
ASV0578	2	0.012097
ASV0579	1	0.031214999999999996
ASV0580	1	0.20058099999999998
ASV0581	1	0.330685
ASV0582	1	0.032074
ASV0583	5	0.043371
ASV0584	1	0.054342999999999995
ASV0585	1	0.017211
ASV0586	1	0.23283099999999998
ASV0587	5	0.12315599999999999
ASV0588	5	0.12315599999999999
ASV0589	1	0.008565999999999999
ASV0590	5	0.064662
ASV0591	5	0.051116
ASV0592	1	0.041788
ASV0593	1	0.596881
ASV0594	1	0.16131500000000001
ASV0595	1	0.151276
ASV0596	1	0.329394
ASV0597	1	0.16592300000000001
ASV0598	1	0.60307
ASV0599	1	0.065768
ASV0600	1	0.087357
ASV0601	1	0.0616
ASV0602	1	0.174966
ASV0603	5	0.041264
ASV0604	2	0.486476
ASV0605	1	0.002198
ASV0606	2	0.010997
ASV0607	1	0.027058999999999996
ASV0608	2	0.015328999999999999
ASV0609	1	0.597513
ASV0610	1	0.345926
ASV0611	1	0.17211300000000002
ASV0612	1	0.303433
ASV0613	1	0.303433
ASV0614	10	6.604317
ASV0615	1	0.165671
ASV0616	1	0.201772
ASV0617	1	0.023755000000000002
ASV0618	5	0.044522000000000006
ASV0619	2	0.13087000000000001
ASV0620	2	0.07507
ASV0621	1	0.056575
ASV0622	1	0.07954
ASV0623	2	0.469239
ASV0624	1	0.102425
ASV0625	1	0.002137
ASV0626	5	0.08024400000000001
ASV0627	5	0.038708
ASV0628	1	0.111826
ASV0629	1	0.067413
ASV0630	1	0.023041
ASV0631	1	0.170703
ASV0632	1	0.021164
